fid,Nom,azimuth,type,longueur,x1,y1,x2,y2,magnitude
"271",,108.644311275439,,1698.30929809746,695774.635442024,6495769.65464836,697383.819931718,6495226.7184181,5.8
"272",,87.3245733438992,,700.693604587342,697560.437741562,6495383.71202685,698260.367580576,6495416.41902867,4.8
"273",,52.8152935467646,,952.442269682861,695198.992209938,6495383.71202685,695957.794652233,6495959.35525893,5.1
"274",,113.512168662299,,1098.58529836479,696572.686286506,6499687.95346676,697580.061942656,6499249.67964233,5.3
"275",,178.619645926558,,543.093831494003,698005.252966356,6499557.12545947,698018.335767085,6499014.18922921,4.5
"276",,6.91122711903992,,434.892447378166,697665.100147396,6499459.004454,697612.768944479,6499027.27202993,4.2
"277",,92.5113632671591,,2985.74622306716,692693.635870292,6500420.5903076,695676.514436555,6500289.7623003,6.4
"278",,90,,1936.25450792466,694911.170593895,6500937.3609364,696847.42510182,6500937.3609364,5.9
"279",,101.381462748367,,2055.16600254427,696690.431493069,6496044.39346367,698705.182805369,6495638.82664107,6
"280",,81.7690248988224,,1050.90808466985,694688.762981498,6495789.27884945,695728.845639472,6495939.73105784,5.2
"281",,85.1095979419536,,1227.71123936717,692484.311058625,6495455.66743086,693707.552926807,6495560.32983669,5.4
"282",,173.58121326976,,526.613200831557,693916.877738474,6496338.75648008,693975.750341756,6495815.44445091,4.4
"283",,89.1930705448988,,464.485489802708,694028.081544673,6495756.57184763,694492.52097056,6495763.11324799,4.3
"284",,75.9637565319946,,512.44680821232,692085.285636383,6495880.85845456,692582.432064094,6496005.14506148,4.4
"285",,136.507435758734,,351.657312066509,691476.935402475,6495115.5146119,691718.967215965,6494860.39999768,4
"286",,90.8126515942524,,1844.86046512851,694348.610162539,6499635.62226384,696193.285065359,6499609.45666238,5.8
"287",,59.5889187329133,,348.908754242572,696317.571672286,6499615.99806275,696618.476089059,6499792.61587259,4
"288",,30.0049208708671,,536.315050789409,695741.928440201,6496024.76926258,696010.12585515,6496489.20868846,4.5
"289",,74.9315118405113,,2641.98892746578,695702.680038013,6497843.27856394,698253.826180211,6498530.12560222,6.2
"290",,105.650515439624,,1745.86777302959,690842.419567107,6500799.99152874,692523.559460812,6500329.01070249,5.8
"291",,42.2970559621645,,1078.93453881784,692824.463877584,6500486.00431124,693550.559318056,6501284.05515573,5.2
"292",,47.7263109938847,,583.469445144422,694315.903160716,6495122.05601226,694747.63558478,6495514.54003414,4.6
"293",,111.870943165235,,2001.83952126904,696958.628908018,6497156.43152566,698816.386611568,6496410.71188409,5.9
"294",,78.0792614601828,,300.851085412416,692430.344505617,6494098.3268552,692724.707522024,6494160.47015866,3.8
"295",,65.7941149554764,,390.872619693418,692816.287127129,6494346.90006905,693172.793447,6494507.16437799,4.1
"296",,81.5730309785303,,267.818224307704,694307.72641026,6493391.85561582,694572.653125026,6493431.10401801,3.7
"297",,13.3811227728589,,763.167269552215,692083.650286292,6493182.53080415,692260.268096137,6493924.97974554,4.9
"298",,78.1356095486705,,795.419221759041,693342.86985648,6492816.21238373,694121.296499868,6492979.74739285,4.9
"299",,83.1429276659623,,520.493681959769,694664.232730131,6493561.9320253,695181.003358935,6493624.07532876,4.4
"300",,17.8188889145275,,577.165069381476,694134.379300598,6492888.16778775,694310.997110442,6493437.64541837,4.5
"301",,64.3807837846484,,2481.07994803001,689803.972259225,6492031.24433998,692041.131183922,6493104.03399978,6.2
"302",,65.161936573411,,2912.09890689343,690621.647304802,6491298.60749914,693264.373052104,6492521.84936733,6.4
"303",,11.8420761153328,,414.386225476001,693270.914452469,6492469.51816441,693355.952657209,6492875.08498702,4.2
"304",,99.8658069430679,,763.552645662399,691151.500734335,6494314.19306723,691903.761776265,6494183.36505994,4.9
"305",,99.5784229194946,,1061.42157988516,693931.595889295,6494150.65805812,694978.219947632,6493974.04024827,5.2
"306",,80.5376777918937,,557.056990469519,695056.716752008,6493974.04024827,695606.194382635,6494065.61985338,4.5
"307",,112.067899562378,,783.494846251165,695658.525585552,6493915.16764499,696384.621026024,6493620.80462858,4.9
"308",,167.905242922989,,6368.78479481493,684570.851967537,6498536.66700259,685905.297641917,6492309.25385548,7.2
"309",,108.029125876973,,12850.2942336901,671226.395223731,6502356.84481552,683445.731104824,6498379.67339384,8
"310",,66.0375110254176,,2577.01288062671,683236.406293156,6498275.010988,685591.310424416,6499321.63504634,6.2
"311",,43.8542371618317,,925.278711498453,685722.138431708,6499465.54585436,686363.19566744,6500132.76869155,5.1
"312",,162.42874122168,,1646.77074586643,685879.132040459,6501846.61558708,686376.27846817,6500276.67949957,5.7
"313",,79.5085229876819,,359.241415889066,686507.106475462,6500172.01709374,686860.342095151,6500237.43109738,4
"314",,54.9638041898884,,1390.10529452038,686834.176493692,6500329.01070249,687972.380157134,6501127.06154697,5.5
"315",,150.832386620426,,644.253220156678,687030.418504631,6501218.64115208,687344.405722132,6500656.08072072,4.7
"316",,10.9228047198732,,759.478837415322,687409.819725778,6501872.78118854,687265.908917757,6501127.06154697,4.9
"317",,155.71417484435,,1176.94318007797,683851.29792743,6500054.27188718,684335.361554411,6498981.48222738,5.3
"318",,161.09542415738,,1009.49725332739,683602.724713575,6499858.02987624,683929.794731805,6498902.985423,5.2
"319",,171.050541915794,,1681.99235038734,681692.635807108,6501284.05515572,681954.291821693,6499622.53946311,5.7
"320",,67.6593520400059,,3097.64144724957,678513.515229908,6498275.010988,681378.648589607,6499452.46305363,6.4
"321",,108.277109609226,,1501.78927830367,679821.79530283,6498340.42499165,681247.820582315,6497869.4441654,5.6
"322",,112.356891329291,,1754.1201429907,680161.948121789,6497660.11935373,681784.215412213,6496992.89651654,5.8
"323",,157.878058028115,,3474.11796528148,686742.596888588,6499282.38664415,688050.87696151,6496064.01766476,6.6
"324",,66.740779054474,,1623.37473023045,686389.361268899,6496548.08129174,687880.80055203,6497189.13852748,5.7
"325",,71.2219667775093,,690.915576140501,689398.40543662,6500394.42470613,690052.545473081,6500616.83231853,4.7
"326",,31.2637316943958,,1285.64730027544,689097.501019847,6493525.95432329,689764.723857038,6494624.90958455,5.4
"327",,109.06257701455,,2643.7941759391,685565.144822958,6496548.08129174,688063.959762239,6495684.61644362,6.2
"328",,33.6900675259772,,707.560632838235,688116.290965156,6495750.03044726,688508.774987033,6496338.75648008,4.8
"329",,159.801368893625,,5645.74013055383,684956.794589049,6500028.10628572,686906.131897703,6494729.57199038,7.1
"330",,168.547659088048,,3096.86778290899,685467.023817489,6496417.25328445,686081.915451762,6493382.04351527,6.4
"331",,101.717434703205,,5411.30006052843,685794.093835719,6493512.87152256,691092.628131054,6492413.91626131,7.1
